Action Entropy,Policy Type,Potential,Collision Likelihood,Reach Reduction,Trial_ID
0.1,Global Optimal,0.19833125210798516,0.11308531969412838,0.9966462431553095,13
0.1,Local Feedback,0.12307534114901561,0.379465386906786,0.6184732616644731,13
0.1,Global Optimal,0.13052080226586688,0.17245588000612322,0.9796469585942061,14
0.1,Local Feedback,0.0024303492296208523,0.9816716258981122,0.018241415849329916,14
0.1,Global Optimal,0.04398800007699531,0.3152489040274543,0.8233629382667512,15
0.1,Local Feedback,1.2280217168947235e-07,0.9999976764675871,2.2985986344184925e-06,15
0.1,Global Optimal,0.10170436257032753,0.014594128989187882,1.0000000000000004,16
0.1,Local Feedback,0.09954109466652869,0.021270158419241403,0.9787298415807589,16
0.1,Global Optimal,0.10170436257032753,0.013814588323103338,1.0000000000000004,17
0.1,Local Feedback,0.10007925242320095,0.015978765375013082,0.9840212346249868,17
0.1,Global Optimal,0.025744639415351704,0.35060907434755584,0.8045835857539031,18
0.1,Local Feedback,5.917291066972067e-07,0.9999805311302968,1.8492996494543777e-05,18
0.1,Global Optimal,0.13052080226586685,0.16577474841754314,0.9796469585942063,19
0.1,Local Feedback,0.0024344807533488947,0.9816404681897567,0.018272425731159263,19
0.1,Global Optimal,0.13052080226586688,0.17245588000612322,0.9796469585942061,20
0.1,Local Feedback,0.0024303492296208523,0.9816716258981122,0.018241415849329916,20
0.1,Global Optimal,0.11511044220469081,0.18165861908389092,0.9926718772579899,21
0.1,Local Feedback,0.022391290635598027,0.8061942704192482,0.19309459753393746,21
0.1,Global Optimal,0.13052080226586685,0.16577474841754314,0.9796469585942063,22
0.1,Local Feedback,0.0024344807533488947,0.9816404681897567,0.018272425731159263,22
0.1,Global Optimal,0.15190762079978332,0.020440830648110753,1.0000000000000002,23
0.1,Local Feedback,0.14902770941465102,0.018958307489576387,0.9810416925104234,23
0.1,Global Optimal,0.15190762079978332,0.020440830648110753,1.0000000000000002,24
0.1,Local Feedback,0.14902770941465102,0.018958307489576387,0.9810416925104234,24
