Action Entropy,Policy Type,Potential,Collision Likelihood,Trial_ID
0.7,Global Feedback,0.9307550698194984,0.0069243325096199,12
0.7,Local Feedback,0.6102672725315746,0.155487898903332,12
0.7,Global Feedback,0.9603711022275676,0.0090617541881143,13
0.7,Local Feedback,0.5392372856154567,0.3355621944515248,13
0.7,Global Feedback,0.8115747434887788,0.0362224922677328,14
0.7,Local Feedback,0.5174497088510458,0.24627728003218705,14
0.7,Global Feedback,0.9460779665764278,0.0111188551434128,15
0.7,Local Feedback,0.5523236283515017,0.2518575645469678,15
0.7,Global Feedback,0.7752496626710965,0.0561075995162302,16
0.7,Local Feedback,0.6024732374367466,0.05312995234587425,16
0.7,Global Feedback,0.9069024276667648,0.0054404512726183,17
0.7,Local Feedback,0.6046275951629657,0.11475592806876705,17
0.7,Global Feedback,0.8723523843460251,0.0132966101033581,18
0.7,Local Feedback,0.6338712200629445,0.07583281469095593,18
0.7,Global Feedback,0.785552576135322,0.0568685809857949,19
0.7,Local Feedback,0.47142973108036046,0.3114840762507951,19
0.7,Global Feedback,0.9398206663780204,0.028019539614023,20
0.7,Local Feedback,7.650396471588355e-05,0.7999986762197924,20
0.7,Global Feedback,0.8458831271328838,0.046404207500597,21
0.7,Local Feedback,0.0053531425597084575,0.7992048611201312,21
0.7,Global Feedback,0.919021409423197,0.009011953431729,22
0.7,Local Feedback,0.6076356438755862,0.14230456708075503,22
0.7,Global Feedback,0.9069360065012771,0.040836314996173,23
0.7,Local Feedback,0.00016101529070962575,0.7999964004787377,23
0.7,Global Feedback,0.937769325647136,0.011260510666492,24
0.7,Local Feedback,0.47559500221425977,0.35326267319629095,24
0.8,Global Feedback,0.976978361817184,0.0026097166842621,0
0.8,Local Feedback,0.8300995597673635,0.011366745431533522,0
0.8,Global Feedback,0.9764617244696217,0.004420881854083,1
0.8,Local Feedback,0.7906855804435041,0.05330942391040529,1
0.8,Global Feedback,0.9833186087320992,0.0013394811899639,2
0.8,Local Feedback,0.7918499074142072,0.056312976575801525,2
0.8,Global Feedback,0.9625007423584304,0.0071291982734209,3
0.8,Local Feedback,0.8184093553215457,0.007260572622770401,3
0.8,Global Feedback,0.9815400392319914,0.0049291888221751,4
0.8,Local Feedback,0.5837991913551904,0.31250766682534176,4
0.8,Global Feedback,0.9818953559936354,0.0019545117829566,5
0.8,Local Feedback,0.7632619643178634,0.08607378335658712,5
0.8,Global Feedback,0.9601389269724212,0.0067253233527055,6
0.8,Local Feedback,0.5408132297263591,0.3660932161107086,6
0.8,Global Feedback,0.9333865316088422,0.0087656450104776,7
0.8,Local Feedback,0.11635165927907588,0.749296788287464,7
0.8,Global Feedback,0.98254022149035,0.0018395053699444,8
0.8,Local Feedback,0.613040060144673,0.2614328007535422,8
0.8,Global Feedback,0.9697644710275052,0.0061389604797525,9
0.8,Local Feedback,0.7255068338430977,0.10476521926460872,9
0.8,Global Feedback,0.9310690459962184,0.0217847597386479,10
0.8,Local Feedback,1.4799139949539417e-08,0.7999999999930023,10
0.8,Global Feedback,0.977263334005904,0.0085854455572421,11
0.8,Local Feedback,0.05529288625059886,0.7831352371677883,11
0.8,Global Feedback,0.984626238380952,0.0028580451634657,12
0.8,Local Feedback,0.6833402003250878,0.18866533194850313,12
0.8,Global Feedback,0.9601121357466452,0.0125974762421178,13
0.8,Local Feedback,0.7311853544790912,0.1245620792631556,13
0.8,Global Feedback,0.9808522927782596,0.0063961687380194,14
0.8,Local Feedback,0.8024126856169453,0.0513314679486152,14
0.8,Global Feedback,0.980607768575408,0.0019034288653611,15
0.8,Local Feedback,0.8054920627391514,0.14256206072143576,15
0.8,Global Feedback,0.9738523293681912,0.0032473055535565,16
0.8,Local Feedback,0.7673940378716394,0.0695070769644856,16
0.8,Global Feedback,0.9636351126837988,0.001299174956575,17
0.8,Local Feedback,0.7240680468076424,0.10086366035692784,17
0.8,Global Feedback,0.9796013681729284,0.0084123980913718,18
0.8,Local Feedback,0.05734590068732736,0.7822782227858553,18
0.8,Global Feedback,0.9762379113312414,0.0023634400318464,19
0.8,Local Feedback,0.7291998764267144,0.1093461344047349,19
0.8,Global Feedback,0.9889066364898556,0.0027251066369144,20
